platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,,100,1.0,100,,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,Lp5ee0BcTu7pTj8dxgAp,29.1023216,2026-02-26 07:04:55.232000+00:00
WebGLPlayer,,100,1.0,100,,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,M1cLP1QYrLBrUFPQPcjC,186.092331,2026-02-25 04:38:43.575000+00:00
WebGLPlayer,,100,1.0,100,,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,MUtX1xB9r0GVhbDUetm4,3.36300039,2026-02-26 04:04:28.563000+00:00
WebGLPlayer,0.0,100,1.2,100,3.0,1773461188.0,1,1.0,f8cd3c4e-f19f-4d31-b3fa-14917d17375a,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Muptb875F3iP4nVIUFoK,,
WebGLPlayer,,100,1.1,100,3.0,1772650101.0,1,,e0387235-a3d5-4ddd-8fa6-bda81981cc26,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,NP2gUN1uYPSlCxAibN3B,1.49200034,1772650101002
WebGLPlayer,,8,1.1,7,3.0,1772511586.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,NjUAZlSwvfKqEnnSC5Ea,7.784,1772511586162
WebGLPlayer,0.0,100,1.2,100,3.0,1773610112.0,1,1.0,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ORjkR6ZJ2rUjT4d1Nzd1,,
WebGLPlayer,,100,1.0,100,,,1,,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,OfzXScvGNC9mLP9NbaoJ,80.5410156,2026-02-25 05:25:06.983000+00:00
WebGLPlayer,,100,1.0,100,,,1,,576e8a75-8c91-465f-a6f2-5daa6f4306b0,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,OhEYl3iopOBG96fjpL6w,5.91499424,2026-02-26 20:47:28.432000+00:00
WebGLPlayer,,100,1.0,100,,,1,,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,Ou2pzmImmjIPxRcbCXIH,42.94395,2026-02-26 03:34:14.642000+00:00
WebGLPlayer,0.0,100,1.2,100,5.0,1773610342.0,1,1.0,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Q4xUCUTM4f2JGeChpCdY,,
WebGLPlayer,,100,1.0,100,,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,QdRNzSGhWTCybJUNIDxV,21.319912,2026-02-25 02:44:38.501000+00:00
WebGLPlayer,0.0,100,1.2,100,3.0,1773604435.0,1,1.0,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,QvAYv06a6Ft5MgaCG65J,,
WebGLPlayer,,100,1.0,100,,,1,,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,RAq0NYOwSyfFmaMCvmre,10.5590267,2026-02-25 05:35:54.613000+00:00
