platform,level,cause,sensitivity_y,sensitivity_x,version,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,3,trigger,100,100,1.0,2,2026-02-26 00:20:19.793000+00:00,d0826227-0ba6-40a9-88b0-823d1c437007,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,WZ8y5JPlr1KRavkxcXkr,,,
WebGLPlayer,5,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Wpl3FQMV8xrC6rFH2ymi,0.0,1773257715.0,1.0
WebGLPlayer,6,abandoned,100,100,1.0,1,2026-02-25 05:47:54.309000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,X6uENNtE6AoKZumplC1b,,,
WebGLPlayer,4,,100,100,1.2,1,,835cc004-e460-4809-9d0d-4e5eb18def5c,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,XBvR5dUa97ewQhn5NwTs,0.0,1773851346.0,1.0
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-26 02:20:51.578000+00:00,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,XDVDZYqWBm2Qkd5QtDN2,,,
WebGLPlayer,3,,9,7,1.2,2,,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,XDd5fjA2dfTeBU769ilP,0.0,1773264971.0,1.0
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-26 02:27:57.232000+00:00,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,XQl5aoPejDt0CCfslIuV,,,
WebGLPlayer,3,trigger,100,100,1.1,3,1772574960224,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,XgNx3ANa0lb0TkSqbbsk,,1772574960.0,
WebGLPlayer,3,trigger,100,100,1.1,1,1772903347414,a9e7478e-0cb7-4f7f-ae7f-1a024e172003,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,YXEmQQUmUu6HSCKC2hts,,1772903347.0,
WebGLPlayer,3,trigger,25,25,1.1,2,1772745215614,0e885dc1-c373-4942-af80-d5caac9c4d5d,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,YaWa6eZhS1RlJuRH3eBS,,1772745215.0,
WebGLPlayer,4,,9,7,1.2,2,,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ZKZfoC4fxwFaDfHrjtSD,0.0,1773265382.0,1.0
WebGLPlayer,6,,100,100,1.2,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,a9rIAGoF8eTRllD9PanV,0.0,1773604909.0,1.0
WebGLPlayer,6,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,b4a7CvTmZiU2ySnzk3z8,0.0,1773280558.0,1.0
WebGLPlayer,4,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,bdosBtR8JV2HHJ1f486J,0.0,1773257019.0,1.0
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 04:46:19.754000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,bxAT5zEjZpoWmypGIUZo,,,
WebGLPlayer,3,trigger,5,5,1.1,1,1772549823710,1f510df4-b380-4bf3-9798-b3c6f23e8d37,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,cCsjlJvseCNyzBr49bN5,,1772549823.0,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 05:44:10.425000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,coyJb6d8y3mZGjjNtmgR,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 05:08:18.955000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,dFq9oZCx0UzvaqrDQMDB,,,
WebGLPlayer,3,trigger,100,100,1.0,2,2026-02-25 04:15:38.201000+00:00,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,dOaNEBoY6CXijYGG3OMR,,,
WebGLPlayer,3,trigger,100,100,1.1,1,1772903292215,a9e7478e-0cb7-4f7f-ae7f-1a024e172003,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,dQmqw3VQ47QQMcb0px3A,,1772903292.0,
WebGLPlayer,3,,9,7,1.2,2,,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,dTLByrpXnLLirjRO2SKj,0.0,1773264753.0,1.0
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-25 18:34:54.812000+00:00,28e05da8-82dd-48f0-af05-a3e93b3b09ea,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,dXfn289yCftzzoCMJsrb,,,
WebGLPlayer,3,trigger,100,100,1.0,2,2026-02-25 04:18:42.728000+00:00,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,dcA2Uk1qSfzRpUfiaUAr,,,
WebGLPlayer,6,abandoned,100,100,1.0,1,2026-02-25 05:43:03.321000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,dfeLQlDXUQdfNZ1ha2ys,,,
WebGLPlayer,3,,100,100,1.2,1,,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,djh26HFPorAVKIdv2YJB,0.0,1773334021.0,1.0
WebGLPlayer,6,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,djyxH9GufQ2IuiYi00Ld,0.0,1773280166.0,1.0
WebGLPlayer,4,stalker,100,100,1.0,1,2026-02-26 03:59:39.157000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,ex3ivBWzFHY9PdBt8y0h,,,
WebGLPlayer,4,trigger,100,100,1.0,1,2026-02-25 02:43:42.220000+00:00,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,f3EgsNNMI6s3acgpVpFf,,,
WebGLPlayer,1,trigger,100,100,1.0,2,2026-02-25 03:49:14.607000+00:00,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,fkHgZCvxK0EjvrqOrJH1,,,
WebGLPlayer,5,,100,100,1.2,1,,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,g4N2llkGwXZfhqa3J3tR,0.0,1773358787.0,0.0
WebGLPlayer,6,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,gltZwcdJ5sOBL2yYzvlO,0.0,1773280502.0,1.0
WebGLPlayer,3,,100,100,1.2,1,,54d9d963-2be7-44ba-b701-1f1b11169492,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,hSfLuFXSRRDnHRGC9knc,0.0,1773424057.0,1.0
WebGLPlayer,1,trigger,100,100,1.0,2,2026-02-25 19:26:41.502000+00:00,856eb70f-1272-4b9f-a2bd-4f8ef97c042c,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,i9LepH7YTJxHabWF6DRM,,,
WebGLPlayer,5,,100,100,1.2,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,iUKQQ1D96xvXrBaA1yCr,0.0,1773604822.0,1.0
