platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,timestamp,type
WebGLPlayer,,6,1.1,8,1,1772587613.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,H0nrczelSzkOvHWNuzbL,1772587613864,Dog
WebGLPlayer,,100,1.0,100,6,,1,,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,H6MJ7fl9UJIpXObCeqSm,2026-02-25 02:46:12.805000+00:00,
WebGLPlayer,0.0,100,1.2,100,1,1773333743.0,1,1.0,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,HKfPuEqFIcnl1VdAwDyz,,
WebGLPlayer,0.0,17,1.2,14,6,1773280458.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,HhesdjNhPYq2WPNl7uuU,,
WebGLPlayer,,100,1.1,100,2,1772574848.0,3,,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,Hkfc2f7UrnrnvQlE5Wsg,1772574848420,Dog
WebGLPlayer,,5,1.1,5,4,1772550471.0,1,,1f510df4-b380-4bf3-9798-b3c6f23e8d37,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,I3OapFswsy6am0rBoqSM,1772550471502,Dog
WebGLPlayer,,100,1.1,100,1,1772600338.0,1,,7f53d27a-c359-41ae-835d-2a74c9d49126,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,I59gh7fnWaNsnSTNGhRY,1772600338140,Dog
WebGLPlayer,,100,1.1,100,1,1772513092.0,1,,55597b92-93c4-40b8-bc6e-3eb02df12ed6,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,I67zazMb53IJsoikqePM,1772513092840,Dog
WebGLPlayer,,6,1.1,8,1,1772559883.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,IDGRIsBZ6S0ZPaYapoNM,1772559883599,Dog
WebGLPlayer,,100,1.1,100,2,1772518276.0,1,,90ae50a2-1e30-46e6-ac38-7a23acdfbef8,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,IKhhFeeYdiTiIBZNb2bj,1772518276603,Dog
WebGLPlayer,,2,1.1,4,1,1772587950.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,ITKNz4XkFInoOICsMXW4,1772587950451,Dog
WebGLPlayer,0.0,7,1.2,9,2,1773264495.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,ITatkznGgt1CJsGlot0P,,
WebGLPlayer,,100,1.1,100,3,1772672937.0,1,,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,Iffh1TeqEKQR7EuQ2usE,1772672937046,Dog
WebGLPlayer,,100,1.0,100,6,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,IjepdnFoHQFFVCjJHYjJ,2026-02-25 05:48:22.092000+00:00,
WebGLPlayer,,100,1.0,100,4,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,Iv3cPKF3rHa8azQU84pE,2026-02-25 05:07:50.720000+00:00,
WebGLPlayer,0.0,100,1.2,100,1,1773438810.0,1,0.0,e889ad18-578c-42c8-ba67-b87ee1d0f6ed,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,IwbLfwqmgZ1JIAF334Fs,,
WebGLPlayer,0.0,4,1.2,5,1,1773264092.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,J4hryjMrnqLn7PAyt1jG,,
WebGLPlayer,,6,1.1,8,1,1772587306.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,JEqzDC4xdGKaxWLs3CiR,1772587306547,Dog
WebGLPlayer,,100,1.1,100,1,1772649699.0,1,,e0387235-a3d5-4ddd-8fa6-bda81981cc26,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,JNa5HDKeJPCVze2WYIbk,1772649699901,Dog
WebGLPlayer,0.0,100,1.2,100,2,1773702019.0,1,0.0,b9d671b7-d44d-4593-a1ef-90dba6f2f1d1,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,JW3AqISEvKee8gGNN9JI,,
WebGLPlayer,0.0,100,1.2,100,1,1773851129.0,1,1.0,835cc004-e460-4809-9d0d-4e5eb18def5c,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,JoiPzwR2RDez2S42WkVs,,
WebGLPlayer,,100,1.0,100,4,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,JqBQ3HdiREMMpn2NquYW,2026-02-25 05:10:17.761000+00:00,
WebGLPlayer,,100,1.0,100,4,,1,,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,K0yGfxhHIEgyqaeewFhX,2026-02-25 01:51:44.083000+00:00,
WebGLPlayer,0.0,17,1.2,14,6,1773280592.0,2,1.0,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,K6p1FJUZKt38vNb51TW5,,
WebGLPlayer,,18,1.1,19,2,1772511002.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,KQOJS7LgT7SSiygM281V,1772511002789,Dog
WebGLPlayer,,25,1.1,27,1,1772510736.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,KpOzCAjHwF8gb0SlYYry,1772510736209,Dog
WebGLPlayer,0.0,7,1.2,9,2,1773264407.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,Ku05i3DfXgzj2LJiYInw,,
